id	dims	cluster_neighbors	resolution	umap_neighbors	min_dist	iterations	trial
153	30	25	0.4	100	0.2	250	3
154	30	25	0.4	100	0.2	250	4
155	30	25	0.4	100	0.2	250	5
156	30	25	0.4	100	0.2	500	1
157	30	25	0.4	100	0.2	500	2
158	30	25	0.4	100	0.2	500	3
159	30	25	0.4	100	0.2	500	4
160	30	25	0.4	100	0.2	500	5
161	30	25	0.4	100	0.3	250	1
162	30	25	0.4	100	0.3	250	2
163	30	25	0.4	100	0.3	250	3
164	30	25	0.4	100	0.3	250	4
165	30	25	0.4	100	0.3	250	5
166	30	25	0.4	100	0.3	500	1
167	30	25	0.4	100	0.3	500	2
168	30	25	0.4	100	0.3	500	3
169	30	25	0.4	100	0.3	500	4
170	30	25	0.4	100	0.3	500	5
171	30	25	0.4	100	0.4	250	1
172	30	25	0.4	100	0.4	250	2
173	30	25	0.4	100	0.4	250	3
174	30	25	0.4	100	0.4	250	4
175	30	25	0.4	100	0.4	250	5
176	30	25	0.4	100	0.4	500	1
177	30	25	0.4	100	0.4	500	2
178	30	25	0.4	100	0.4	500	3
179	30	25	0.4	100	0.4	500	4
180	30	25	0.4	100	0.4	500	5
